Device Number: 0
  Device name: NVIDIA A100-PCIE-40GB
  Memory Clock Rate (KHz): 1215000
  Memory Bus Width (bits): 5120
  Peak Memory Bandwidth (GB/s): 1555.200000

Device Number: 1
  Device name: NVIDIA TITAN RTX
  Memory Clock Rate (KHz): 7001000
  Memory Bus Width (bits): 384
  Peak Memory Bandwidth (GB/s): 672.096000

Iteration time 6.101632 ms
Iteration time 6.239104 ms
Iteration time 6.046272 ms
Iteration time 6.094912 ms
Iteration time 6.044352 ms
Iteration time 6.076128 ms
Iteration time 6.114976 ms
Iteration time 5.994848 ms
Iteration time 6.043264 ms
Iteration time 6.100832 ms
Iteration time 6.132256 ms
Iteration time 6.025344 ms
Iteration time 6.019904 ms
Iteration time 7.440352 ms
Iteration time 6.217120 ms
Iteration time 6.147584 ms
Iteration time 6.173280 ms
Iteration time 6.140960 ms
Iteration time 6.143552 ms
Iteration time 6.109216 ms
Iteration time 6.118592 ms
Iteration time 6.143232 ms
Iteration time 6.147488 ms
Iteration time 6.062368 ms
Iteration time 6.115872 ms
Iteration time 6.081472 ms
Iteration time 6.055360 ms
Iteration time 6.066624 ms
Iteration time 6.159840 ms
Iteration time 6.116224 ms
Iteration time 6.111776 ms
Iteration time 6.052128 ms
Iteration time 6.042784 ms
Iteration time 6.137568 ms
Iteration time 6.118848 ms
Iteration time 6.072384 ms
Iteration time 6.168448 ms
Iteration time 6.128832 ms
Iteration time 6.080672 ms
Iteration time 6.168128 ms
Iteration time 6.069280 ms
Iteration time 6.052640 ms
Iteration time 6.096000 ms
Iteration time 6.167296 ms
Iteration time 6.047616 ms
Iteration time 6.103168 ms
Iteration time 6.094240 ms
Iteration time 6.261472 ms
Iteration time 6.206752 ms
Iteration time 6.261120 ms
Iteration time 6.068896 ms
Iteration time 6.084672 ms
Iteration time 6.168512 ms
Iteration time 6.105632 ms
Iteration time 6.063360 ms
Iteration time 6.191680 ms
Iteration time 6.162848 ms
Iteration time 6.029504 ms
Iteration time 6.150080 ms
Iteration time 6.116096 ms
Iteration time 6.154752 ms
Iteration time 6.027968 ms
Iteration time 6.004576 ms
Iteration time 6.128160 ms
Iteration time 6.025184 ms
Iteration time 6.155424 ms
Iteration time 6.114112 ms
Iteration time 6.289312 ms
Iteration time 6.095968 ms
Iteration time 6.160352 ms
Iteration time 6.070368 ms
Iteration time 6.018496 ms
Iteration time 6.144768 ms
Iteration time 6.170144 ms
Iteration time 6.136800 ms
Iteration time 6.186784 ms
Iteration time 6.092832 ms
Iteration time 7.501920 ms
Iteration time 6.711616 ms
Iteration time 6.019520 ms
Iteration time 5.880416 ms
Iteration time 6.119936 ms
Iteration time 6.137024 ms
Iteration time 6.058112 ms
Iteration time 6.145696 ms
Iteration time 6.074368 ms
Iteration time 6.147616 ms
Iteration time 6.072960 ms
Iteration time 6.103584 ms
Iteration time 6.111712 ms
Iteration time 6.173632 ms
Iteration time 6.163616 ms
Iteration time 6.121376 ms
Iteration time 6.194080 ms
Iteration time 6.127616 ms
Iteration time 6.150752 ms
Iteration time 6.139328 ms
Iteration time 6.166144 ms
Iteration time 6.171744 ms
Iteration time 6.133760 ms
Iteration time 6.319936 ms
Iteration time 6.181152 ms
Iteration time 6.156256 ms
Iteration time 6.215936 ms
Iteration time 6.202144 ms
Iteration time 6.061888 ms
Iteration time 6.207296 ms
Iteration time 6.135744 ms
Iteration time 6.103328 ms
Iteration time 6.229984 ms
Iteration time 6.138912 ms
Iteration time 6.065728 ms
Iteration time 6.063424 ms
Iteration time 6.153472 ms
Iteration time 6.178208 ms
Iteration time 6.080960 ms
Iteration time 7.941536 ms
Iteration time 6.701312 ms
Iteration time 6.252480 ms
Iteration time 6.148160 ms
Iteration time 6.406880 ms
Iteration time 6.117728 ms
Iteration time 6.219680 ms
Iteration time 6.176544 ms
Iteration time 6.181088 ms
Iteration time 6.054080 ms
Iteration time 6.080320 ms
Iteration time 6.152096 ms
Iteration time 6.066272 ms
Iteration time 6.108992 ms
Iteration time 6.181888 ms
Iteration time 6.178656 ms
Iteration time 6.217152 ms
Iteration time 6.300736 ms
Iteration time 6.164416 ms
Iteration time 6.105184 ms
Iteration time 6.207392 ms
Iteration time 6.120896 ms
Iteration time 6.088608 ms
Iteration time 6.092032 ms
Iteration time 6.210560 ms
Iteration time 6.168448 ms
Iteration time 6.149728 ms
Iteration time 6.107584 ms
Iteration time 6.165504 ms
Iteration time 6.136512 ms
Iteration time 6.136032 ms
Iteration time 6.020576 ms
Iteration time 6.083616 ms
Iteration time 6.331264 ms
Iteration time 6.222240 ms
Iteration time 6.195232 ms
Iteration time 6.157568 ms
Iteration time 6.223424 ms
Iteration time 6.227232 ms
Iteration time 6.176128 ms
Iteration time 6.117824 ms
Iteration time 6.175072 ms
Iteration time 6.163680 ms
Iteration time 6.108864 ms
Iteration time 6.158592 ms
Iteration time 6.034400 ms
Iteration time 6.189344 ms
Iteration time 6.134688 ms
Iteration time 6.156000 ms
Iteration time 6.129408 ms
Iteration time 6.508832 ms
Iteration time 6.093728 ms
Iteration time 6.129280 ms
Iteration time 6.116800 ms
Iteration time 6.096896 ms
Iteration time 6.132192 ms
Iteration time 6.102240 ms
Iteration time 6.150560 ms
Iteration time 6.111488 ms
Iteration time 6.122016 ms
Iteration time 6.160128 ms
Iteration time 6.116832 ms
Iteration time 6.094624 ms
Iteration time 6.139680 ms
Iteration time 6.111296 ms
Iteration time 6.142048 ms
Iteration time 6.135744 ms
Iteration time 6.123424 ms
Iteration time 6.663936 ms
Iteration time 6.109888 ms
Iteration time 6.130144 ms
Iteration time 6.128320 ms
Iteration time 6.084224 ms
Iteration time 6.031488 ms
Iteration time 6.144256 ms
Iteration time 6.101440 ms
Iteration time 5.967520 ms
Iteration time 6.111904 ms
Iteration time 6.034624 ms
Iteration time 6.124128 ms
Iteration time 6.028608 ms
Iteration time 6.153280 ms
Iteration time 6.132384 ms
Iteration time 6.262688 ms
Iteration time 6.534912 ms
Iteration time 6.172928 ms
Iteration time 6.146784 ms
Iteration time 6.098112 ms
Iteration time 6.163200 ms
Iteration time 6.011104 ms
Iteration time 6.139552 ms
Iteration time 6.069920 ms
Iteration time 6.163392 ms
Iteration time 6.079584 ms
Iteration time 6.123456 ms
Iteration time 6.133280 ms
Iteration time 6.155104 ms
Iteration time 6.143328 ms
Iteration time 6.114720 ms
Iteration time 6.123520 ms
Iteration time 6.084224 ms
Iteration time 6.065088 ms
Iteration time 6.148800 ms
Iteration time 6.072256 ms
Iteration time 6.093728 ms
Iteration time 6.097824 ms
Iteration time 6.135552 ms
Iteration time 6.142048 ms
Iteration time 6.125760 ms
Iteration time 6.180448 ms
Iteration time 6.408736 ms
Iteration time 6.166720 ms
Iteration time 6.206624 ms
Iteration time 6.072960 ms
Iteration time 6.119200 ms
Iteration time 6.186112 ms
Iteration time 6.340672 ms
Iteration time 6.122272 ms
